POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,44,Lewis Hamilton,Mercedes,71,1:22:50.683,25
2,77,Valtteri Bottas,Mercedes,71,+13.719s,18
3,33,Max Verstappen,Red Bull Racing Honda,71,+33.698s,15
4,23,Alexander Albon,Red Bull Racing Honda,71,+44.400s,12
5,4,Lando Norris,McLaren Renault,71,+61.470s,10
6,11,Sergio Perez,Racing Point BWT Mercedes,71,+62.387s,8
7,18,Lance Stroll,Racing Point BWT Mercedes,71,+62.453s,6
8,3,Daniel Ricciardo,Renault,71,+62.591s,4
9,55,Carlos Sainz,McLaren Renault,70,+1 lap,3
10,26,Daniil Kvyat,AlphaTauri Honda,70,+1 lap,1
11,7,Kimi Räikkönen,Alfa Romeo Racing Ferrari,70,+1 lap,0
12,20,Kevin Magnussen,Haas Ferrari,70,+1 lap,0
13,8,Romain Grosjean,Haas Ferrari,70,+1 lap,0
14,99,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,70,+1 lap,0
15,10,Pierre Gasly,AlphaTauri Honda,70,+1 lap,0
16,63,George Russell,Williams Mercedes,69,+2 laps,0
17,6,Nicholas Latifi,Williams Mercedes,69,+2 laps,0
NC,31,Esteban Ocon,Renault,25,DNF,0
NC,16,Charles Leclerc,Ferrari,4,DNF,0
NC,5,Sebastian Vettel,Ferrari,1,DNF,0
