GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Bahrain,28 Mar 2021,Williams Mercedes,14,0
Emilia Romagna,18 Apr 2021,Williams Mercedes,DNF,0
Portugal,02 May 2021,Williams Mercedes,16,0
Spain,09 May 2021,Williams Mercedes,14,0
Monaco,23 May 2021,Williams Mercedes,14,0
Azerbaijan,06 Jun 2021,Williams Mercedes,DNF,0
France,20 Jun 2021,Williams Mercedes,12,0
Styria,27 Jun 2021,Williams Mercedes,DNF,0
Austria,04 Jul 2021,Williams Mercedes,11,0
Great Britain,18 Jul 2021,Williams Mercedes,12,0
Hungary,01 Aug 2021,Williams Mercedes,8,4
Belgium,29 Aug 2021,Williams Mercedes,2,9
Netherlands,05 Sep 2021,Williams Mercedes,DNF,0
Italy,12 Sep 2021,Williams Mercedes,9,2
Russia,26 Sep 2021,Williams Mercedes,10,1
Turkey,10 Oct 2021,Williams Mercedes,15,0
United States,24 Oct 2021,Williams Mercedes,14,0
Mexico,07 Nov 2021,Williams Mercedes,16,0
Brazil,14 Nov 2021,Williams Mercedes,13,0
Qatar,21 Nov 2021,Williams Mercedes,17,0
Saudi Arabia,05 Dec 2021,Williams Mercedes,DNF,0
Abu Dhabi,12 Dec 2021,Williams Mercedes,DNF,0
