GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Bahrain,28 Mar 2021,McLaren Mercedes,4,12
Emilia Romagna,18 Apr 2021,McLaren Mercedes,3,15
Portugal,02 May 2021,McLaren Mercedes,5,10
Spain,09 May 2021,McLaren Mercedes,8,4
Monaco,23 May 2021,McLaren Mercedes,3,15
Azerbaijan,06 Jun 2021,McLaren Mercedes,5,10
France,20 Jun 2021,McLaren Mercedes,5,10
Styria,27 Jun 2021,McLaren Mercedes,5,10
Austria,04 Jul 2021,McLaren Mercedes,3,15
Great Britain,18 Jul 2021,McLaren Mercedes,4,12
Hungary,01 Aug 2021,McLaren Mercedes,DNF,0
Belgium,29 Aug 2021,McLaren Mercedes,14,0
Netherlands,05 Sep 2021,McLaren Mercedes,10,1
Italy,12 Sep 2021,McLaren Mercedes,2,18
Russia,26 Sep 2021,McLaren Mercedes,7,7
Turkey,10 Oct 2021,McLaren Mercedes,7,6
United States,24 Oct 2021,McLaren Mercedes,8,4
Mexico,07 Nov 2021,McLaren Mercedes,10,1
Brazil,14 Nov 2021,McLaren Mercedes,10,1
Qatar,21 Nov 2021,McLaren Mercedes,9,2
Saudi Arabia,05 Dec 2021,McLaren Mercedes,10,1
Abu Dhabi,12 Dec 2021,McLaren Mercedes,7,6
