GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Bahrain,28 Mar 2021,AlphaTauri Honda,DNF,0
Emilia Romagna,18 Apr 2021,AlphaTauri Honda,7,6
Portugal,02 May 2021,AlphaTauri Honda,10,1
Spain,09 May 2021,AlphaTauri Honda,10,1
Monaco,23 May 2021,AlphaTauri Honda,6,8
Azerbaijan,06 Jun 2021,AlphaTauri Honda,3,15
France,20 Jun 2021,AlphaTauri Honda,7,6
Styria,27 Jun 2021,AlphaTauri Honda,DNF,0
Austria,04 Jul 2021,AlphaTauri Honda,9,2
Great Britain,18 Jul 2021,AlphaTauri Honda,11,0
Hungary,01 Aug 2021,AlphaTauri Honda,5,11
Belgium,29 Aug 2021,AlphaTauri Honda,6,4
Netherlands,05 Sep 2021,AlphaTauri Honda,4,12
Italy,12 Sep 2021,AlphaTauri Honda,DNF,0
Russia,26 Sep 2021,AlphaTauri Honda,13,0
Turkey,10 Oct 2021,AlphaTauri Honda,6,8
United States,24 Oct 2021,AlphaTauri Honda,DNF,0
Mexico,07 Nov 2021,AlphaTauri Honda,4,12
Brazil,14 Nov 2021,AlphaTauri Honda,7,6
Qatar,21 Nov 2021,AlphaTauri Honda,11,0
Saudi Arabia,05 Dec 2021,AlphaTauri Honda,6,8
Abu Dhabi,12 Dec 2021,AlphaTauri Honda,5,10
