GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Bahrain,28 Mar 2021,AlphaTauri Honda,9,2
Emilia Romagna,18 Apr 2021,AlphaTauri Honda,12,0
Portugal,02 May 2021,AlphaTauri Honda,15,0
Spain,09 May 2021,AlphaTauri Honda,DNF,0
Monaco,23 May 2021,AlphaTauri Honda,16,0
Azerbaijan,06 Jun 2021,AlphaTauri Honda,7,6
France,20 Jun 2021,AlphaTauri Honda,13,0
Styria,27 Jun 2021,AlphaTauri Honda,10,1
Austria,04 Jul 2021,AlphaTauri Honda,12,0
Great Britain,18 Jul 2021,AlphaTauri Honda,10,1
Hungary,01 Aug 2021,AlphaTauri Honda,6,8
Belgium,29 Aug 2021,AlphaTauri Honda,15,0
Netherlands,05 Sep 2021,AlphaTauri Honda,DNF,0
Italy,12 Sep 2021,AlphaTauri Honda,DNS,0
Russia,26 Sep 2021,AlphaTauri Honda,17,0
Turkey,10 Oct 2021,AlphaTauri Honda,14,0
United States,24 Oct 2021,AlphaTauri Honda,9,2
Mexico,07 Nov 2021,AlphaTauri Honda,DNF,0
Brazil,14 Nov 2021,AlphaTauri Honda,15,0
Qatar,21 Nov 2021,AlphaTauri Honda,13,0
Saudi Arabia,05 Dec 2021,AlphaTauri Honda,14,0
Abu Dhabi,12 Dec 2021,AlphaTauri Honda,4,12
