POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,44,Lewis Hamilton,Mercedes,57,1:24:28.471,25
2,33,Max Verstappen,Red Bull Racing Honda,57,+25.743s,19
3,14,Fernando Alonso,Alpine Renault,57,+59.457s,15
4,11,Sergio Perez,Red Bull Racing Honda,57,+62.306s,12
5,31,Esteban Ocon,Alpine Renault,57,+80.570s,10
6,18,Lance Stroll,Aston Martin Mercedes,57,+81.274s,8
7,55,Carlos Sainz,Ferrari,57,+81.911s,6
8,16,Charles Leclerc,Ferrari,57,+83.126s,4
9,4,Lando Norris,McLaren Mercedes,56,+1 lap,2
10,5,Sebastian Vettel,Aston Martin Mercedes,56,+1 lap,1
11,10,Pierre Gasly,AlphaTauri Honda,56,+1 lap,0
12,3,Daniel Ricciardo,McLaren Mercedes,56,+1 lap,0
13,22,Yuki Tsunoda,AlphaTauri Honda,56,+1 lap,0
14,7,Kimi Räikkönen,Alfa Romeo Racing Ferrari,56,+1 lap,0
15,99,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,56,+1 lap,0
16,47,Mick Schumacher,Haas Ferrari,56,+1 lap,0
17,63,George Russell,Williams Mercedes,55,+2 laps,0
18,9,Nikita Mazepin,Haas Ferrari,55,+2 laps,0
NC,6,Nicholas Latifi,Williams Mercedes,50,DNF,0
NC,77,Valtteri Bottas,Mercedes,48,DNF,0
