GRAND PRIX,DATE,PTS
Bahrain,28 Mar 2021,2
Emilia Romagna,18 Apr 2021,6
Portugal,02 May 2021,1
Spain,09 May 2021,1
Monaco,23 May 2021,8
Azerbaijan,06 Jun 2021,21
France,20 Jun 2021,6
Styria,27 Jun 2021,1
Austria,04 Jul 2021,2
Great Britain,18 Jul 2021,1
Hungary,01 Aug 2021,19
Belgium,29 Aug 2021,4
Netherlands,05 Sep 2021,12
Italy,12 Sep 2021,0
Russia,26 Sep 2021,0
Turkey,10 Oct 2021,8
United States,24 Oct 2021,2
Mexico,07 Nov 2021,12
Brazil,14 Nov 2021,6
Qatar,21 Nov 2021,0
Saudi Arabia,05 Dec 2021,8
Abu Dhabi,12 Dec 2021,22
