GRAND PRIX,DATE,PTS
Bahrain,28 Mar 2021,1
Emilia Romagna,18 Apr 2021,4
Portugal,02 May 2021,0
Spain,09 May 2021,0
Monaco,23 May 2021,14
Azerbaijan,06 Jun 2021,18
France,20 Jun 2021,3
Styria,27 Jun 2021,4
Austria,04 Jul 2021,0
Great Britain,18 Jul 2021,4
Hungary,01 Aug 2021,0
Belgium,29 Aug 2021,5
Netherlands,05 Sep 2021,0
Italy,12 Sep 2021,6
Russia,26 Sep 2021,0
Turkey,10 Oct 2021,2
United States,24 Oct 2021,1
Mexico,07 Nov 2021,6
Brazil,14 Nov 2021,0
Qatar,21 Nov 2021,9
Saudi Arabia,05 Dec 2021,0
Abu Dhabi,12 Dec 2021,0
