GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Bahrain,20 Mar 2022,McLaren Mercedes,14,0
Saudi Arabia,27 Mar 2022,McLaren Mercedes,DNF,0
Australia,10 Apr 2022,McLaren Mercedes,6,8
Emilia Romagna,24 Apr 2022,McLaren Mercedes,18,3
Miami,08 May 2022,McLaren Mercedes,13,0
Spain,22 May 2022,McLaren Mercedes,12,0
Monaco,29 May 2022,McLaren Mercedes,13,0
Azerbaijan,12 Jun 2022,McLaren Mercedes,8,4
Canada,19 Jun 2022,McLaren Mercedes,11,0
Great Britain,03 Jul 2022,McLaren Mercedes,13,0
Austria,10 Jul 2022,McLaren Mercedes,9,2
France,24 Jul 2022,McLaren Mercedes,9,2
Hungary,31 Jul 2022,McLaren Mercedes,15,0
Belgium,28 Aug 2022,McLaren Mercedes,15,0
Netherlands,04 Sep 2022,McLaren Mercedes,17,0
Italy,11 Sep 2022,McLaren Mercedes,DNF,0
Singapore,02 Oct 2022,McLaren Mercedes,5,10
Japan,09 Oct 2022,McLaren Mercedes,11,0
United States,23 Oct 2022,McLaren Mercedes,16,0
Mexico,30 Oct 2022,McLaren Mercedes,7,6
Brazil,13 Nov 2022,McLaren Mercedes,DNF,0
Abu Dhabi,20 Nov 2022,McLaren Mercedes,9,2
