GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Bahrain,20 Mar 2022,Haas Ferrari,11,0
Saudi Arabia,27 Mar 2022,Haas Ferrari,DNS,0
Australia,10 Apr 2022,Haas Ferrari,13,0
Emilia Romagna,24 Apr 2022,Haas Ferrari,17,0
Miami,08 May 2022,Haas Ferrari,15,0
Spain,22 May 2022,Haas Ferrari,14,0
Monaco,29 May 2022,Haas Ferrari,DNF,0
Azerbaijan,12 Jun 2022,Haas Ferrari,14,0
Canada,19 Jun 2022,Haas Ferrari,DNF,0
Great Britain,03 Jul 2022,Haas Ferrari,8,4
Austria,10 Jul 2022,Haas Ferrari,6,8
France,24 Jul 2022,Haas Ferrari,15,0
Hungary,31 Jul 2022,Haas Ferrari,14,0
Belgium,28 Aug 2022,Haas Ferrari,17,0
Netherlands,04 Sep 2022,Haas Ferrari,13,0
Italy,11 Sep 2022,Haas Ferrari,12,0
Singapore,02 Oct 2022,Haas Ferrari,13,0
Japan,09 Oct 2022,Haas Ferrari,17,0
United States,23 Oct 2022,Haas Ferrari,15,0
Mexico,30 Oct 2022,Haas Ferrari,16,0
Brazil,13 Nov 2022,Haas Ferrari,13,0
Abu Dhabi,20 Nov 2022,Haas Ferrari,16,0
