GRAND PRIX,DATE,PTS
Bahrain,20 Mar 2022,0
Saudi Arabia,27 Mar 2022,37
Australia,10 Apr 2022,18
Emilia Romagna,24 Apr 2022,58
Miami,08 May 2022,38
Spain,22 May 2022,44
Monaco,29 May 2022,40
Azerbaijan,12 Jun 2022,44
Canada,19 Jun 2022,25
Great Britain,03 Jul 2022,24
Austria,10 Jul 2022,31
France,24 Jul 2022,37
Hungary,31 Jul 2022,35
Belgium,28 Aug 2022,44
Netherlands,04 Sep 2022,36
Italy,11 Sep 2022,34
Singapore,02 Oct 2022,31
Japan,09 Oct 2022,43
United States,23 Oct 2022,37
Mexico,30 Oct 2022,40
Brazil,13 Nov 2022,23
Abu Dhabi,20 Nov 2022,40
